,,
No,Nama Pengguna ,Comment
1,@danofficial2452,Ngos ngosan😂😂😂
2,@indriSaman,"ronde 1: jefri
ronde 2: draw
ronde 3: el
ronde 4: el"
3,@smsun1030,Pantesan artur beterbiev di juluki monster😂❤
4,@user-cv7qm7ld8m,Lawan rodtang aja biar seru wkwkwk
5,@user-xc9xj4ki2y,Ko bisa el menang 😅😅
6,@mtaqiyuddin4910,Hahah penilain konyol
7,@semutireng8332,"Jefri power dan pukulan good tapi jarang in dan buang2 tenaga
El teknik pukulan masih gaya tarung bebas dan kurang power tapi sering hit masuk dan kebantj badannya yg gede
Harus diperbaiki teknik pukulannya, kalau tekniknya baik yakin sih jefri bisa di TKO el... Gimanaoun dalam bela diri postur berat pengaruhnya gede
Btw si jefri biar intropeksi jangan kebanyakan gaya sok nantangin orang2 gk terlatih giliran ketemu lawannya mewek dipojokan ini baru el si anak mama
Bayangin musuhnya rendy panggalila atau level atlit beneran macam crisjohn dkk jadi ayam geprek si nicole"
8,@user-xo4rb2lh6x,Kocak 😅😅😅😅
9,@bayuanggara7213,"Sebenarnya Jefri Bagus Powernya Dan Staminanya Lebih Tahan, Hanya Terlihat Ada Sedikit Keraguan,. El Rumi Bagus Jga Hanya Cepat Lowbat 😅 Tpi Tepatnya Kuat Dan Pandai Mengimbangi Bertahan Sambil Mengisi Stamina. Menurutku Bagitu Sih. Tpi 22 Nya Baik."
10,@ardiansyah-3268,Babak terakhir sama2 letoy seharusnya draw
11,@aboy937,Tambah 1 ronde... Auto Pingsan dua duanya😂😂😂😂
12,@tonyliong9518,Andaikan kalian berdua lawan Floyd Mayweather apa yang terjadi
13,@user-bo2oc7wc9o,Adu tinju pake pelindung kepala😂 lebih asik by one di lapangan belakang sekolah... Bebas😂
